@badges=;color=#FF7F50;display-name=nessharris;emotes=88:25-32;id=f7bf26c7-9ec8-43fe-ad93-ef0627c170fc;mod=0;room-id=28640725;subscriber=0;tmi-sent-ts=1530734255318;turbo=0;user-id=204334139;user-type= :nessharris!nessharris@nessharris.tmi.twitch.tv PRIVMSG #lobosjr :Happy independence KKona PogChamp
@badges=;color=#DAA520;display-name=erik_debnar;emotes=;id=a929411f-e93c-400a-8c3b-5b9d9a506896;mod=0;room-id=28640725;subscriber=0;tmi-sent-ts=1530734255634;turbo=0;user-id=73395862;user-type= :erik_debnar!erik_debnar@erik_debnar.tmi.twitch.tv PRIVMSG #lobosjr :hidden baby is good against the popo
@badges=moderator/1,subscriber/24,bits/1000;color=#18CC00;display-name=jerggy;emotes=1027515:0-5;id=9978b35b-061d-4c46-9c47-11df74c0058e;mod=1;room-id=28640725;subscriber=1;tmi-sent-ts=1530734260701;turbo=0;user-id=80045793;user-type=mod :jerggy!jerggy@jerggy.tmi.twitch.tv PRIVMSG #lobosjr :lobosS limbo nito
@badges=subscriber/0,premium/1;color=;display-name=TommyEstus89;emotes=;id=77e210a3-cbbe-4eed-adb2-0cc96e117402;mod=0;room-id=28640725;subscriber=1;tmi-sent-ts=1530734261706;turbo=0;user-id=212589769;user-type= :tommyestus89!tommyestus89@tommyestus89.tmi.twitch.tv PRIVMSG #lobosjr :naked NITO is SCARY
@badges=;color=;display-name=csgo488;emotes=;id=73bbc2b6-3372-4855-81a2-9f61f7d2b77c;mod=0;room-id=28640725;subscriber=0;tmi-sent-ts=1530734262988;turbo=0;user-id=119414152;user-type= :csgo488!csgo488@csgo488.tmi.twitch.tv PRIVMSG #lobosjr :he skipped legs day
@badges=subscriber/3,premium/1;color=#FF0000;display-name=fraktalg;emotes=25:6-10;id=c3bd3918-ca14-4799-8faf-6fbc883be13c;mod=0;room-id=28640725;subscriber=1;tmi-sent-ts=1530734263166;turbo=0;user-id=70408003;user-type= :fraktalg!fraktalg@fraktalg.tmi.twitch.tv PRIVMSG #lobosjr :27 IQ Kappa
@badges=subscriber/12,premium/1;color=#4117B5;display-name=MICROmor;emotes=;id=313c2d31-48c0-4348-b20e-e44250bb791b;mod=0;room-id=28640725;subscriber=1;tmi-sent-ts=1530734267816;turbo=0;user-id=13652948;user-type= :micromor!micromor@micromor.tmi.twitch.tv PRIVMSG #lobosjr :she's got LEGS
@badges=;color=#1E90FF;display-name=just_gorm;emotes=;id=910e1c41-f116-4a42-b96f-7d1e79fed62b;mod=0;room-id=28640725;subscriber=0;tmi-sent-ts=1530734268009;turbo=0;user-id=50579619;user-type= :just_gorm!just_gorm@just_gorm.tmi.twitch.tv PRIVMSG #lobosjr :I'm sure 4 kings will be fiiine
@badges=subscriber/6;color=#9ACD32;display-name=Business_Vulture;emotes=;id=03a85d18-8544-4a27-8799-42ae55a95c21;mod=0;room-id=28640725;subscriber=1;tmi-sent-ts=1530734270998;turbo=0;user-id=153231393;user-type= :business_vulture!business_vulture@business_vulture.tmi.twitch.tv PRIVMSG #lobosjr :Dem legs
@badges=subscriber/0,premium/1;color=#9ACD32;display-name=TheDoomRazer;emote-only=1;emotes=1040713:0-8,10-18,20-28,30-38,40-48,50-58,60-68,70-78,80-88,90-98,100-108,110-118,120-128,130-138,140-148,150-158,160-168,170-178,180-188,190-198,200-208;id=91a3961c-8a42-417b-ad6c-c7c4b42cb9b1;mod=0;room-id=28640725;subscriber=1;tmi-sent-ts=1530734272608;turbo=0;user-id=76160252;user-type= :thedoomrazer!thedoomrazer@thedoomrazer.tmi.twitch.tv PRIVMSG #lobosjr :lobosHype lobosHype lobosHype lobosHype lobosHype lobosHype lobosHype lobosHype lobosHype lobosHype lobosHype lobosHype lobosHype lobosHype lobosHype lobosHype lobosHype lobosHype lobosHype lobosHype lobosHype
@badges=subscriber/12,bits/1000;color=#208E97;display-name=joylent_blue;emotes=;id=7fa9b960-7e21-402e-bdac-c731fa183555;mod=0;room-id=28640725;subscriber=1;tmi-sent-ts=1530734286681;turbo=0;user-id=148409540;user-type= :joylent_blue!joylent_blue@joylent_blue.tmi.twitch.tv PRIVMSG #lobosjr :nito's calves are sculpted
